0xe005ea49,MountCtrl.CheckDTEF_FW
0xe005ea7d,MountCtrl.CheckMIF_FW
0xe005f3c1,EFLensTool.Initialize_FW
0xe005f3ed,EFLensTool.SendWithVal_FW
0xe005f43f,EFLensTool.Cmd.Send_FW
0xe005f477,EFLensTool.Cmd.SetSize_FW
0xe005f4a1,EFLensTool.Cmd.SetSendData_FW
0xe005f4cd,EFLensTool.Cmd.GetRcvData_FW
0xe005f4fd,EFLensTool.Cmd.Show_FW
0xe005f535,EFLensTool.Cmd.Clear_FW
0xe005f563,EFLensTool.Terminate_FW
0xe005f591,EFLensCom.SendCommand_FW
0xe005f5ff,EFLensEEPROM.Initialize_FW
0xe005f619,EFLensEEPROM.Terminate_FW
0xe005f633,EFLensEEPROM.Read_FW
0xe005f681,EFLensEEPROM.Write_FW
0xe005f6c9,EFLensEEPROM.Dump_FW
0xe005fb13,EFLensEEPROM.Modify_FW
0xe005fb4b,EFLensEEPROM.Save_FW
0xe005fcb1,EFLensEEPROM.Save_Modoki_FW
0xe005fe33,EFLensCom.Connect_FW
0xe005fe4f,EFLensCom.Reset_FW
0xe005fe77,j_EFLensCom.Disconnect_FW
0xe005fe7b,EFLensCom.PrintCameraInfo_FW
0xe005fe85,EFLensCom.PrintLib_FW
0xe005fe89,EFLensCom.SuspendStatus_FW
0xe005fe9b,EFLensCom.ResumeStatus_FW
0xe005feab,EFLensCom.SetFPSetting_FW
0xe005fec7,EFLensCom.SetPFSetting_FW
0xe00600f9,EFLensCom.MoveIris_FW
0xe006012b,EFLensCom.MoveIris_FNo_FW
0xe006015d,EFLensCom.GetIrisSpeedInfo_FW
0xe00601a7,EFLensCom.GetFNo_FW
0xe00601dd,EFLensCom.GetFNoRange_FW
0xe0060283,EFLensCom.GetFocusPitch_FW
0xe00602d5,EFLensCom.GetFocalLength_FW
0xe0060317,EFLensCom.DistanceInfo_FW
0xe0060391,EFLensCom.FocusSearchFar_FW
0xe0060391,EFLensCom_FocusSearchFar
0xe00603b7,EFLensCom.FocusSearchNear_FW
0xe00603b7,EFLensCom_FocusSearchNear
0xe00603dd,j_EFLensCom.ResetFocusPulse_FW
0xe00603e1,EFLensCom.GetPO_FW
0xe006047b,EFLensCom.GetNewPO_FW
0xe00607d3,EFLensCom.GetID_FW
0xe00607eb,j_EFLensCom.UpdateStatus_FW
0xe00607ef,EFLensCom.LoadAEData_FW
0xe0060807,EFLensCom.PrintStatus_FW
0xe00609d9,ShowEFLensInfo_FW
0xe006186b,EFLensCom.PrintUnitSpec_FW
